serial_no,sensor_id,imu1_pitch,imu1_roll,battery,reading_time
287,LRS,0,0,34,Sat Jul 25 2020 11:29:01 GMT+0530 (India Standard Time)
288,LRS,0,0,34,Sat Jul 25 2020 11:29:01 GMT+0530 (India Standard Time)
289,LRS,0,0,34,Sat Jul 25 2020 11:29:01 GMT+0530 (India Standard Time)
290,LRS,0,0,34,Sat Jul 25 2020 11:29:01 GMT+0530 (India Standard Time)
291,LRS,0,0,34,Sat Jul 25 2020 11:29:01 GMT+0530 (India Standard Time)
292,LRS,0,0,34,Sat Jul 25 2020 11:29:01 GMT+0530 (India Standard Time)
293,LRS,0,0,34,Sat Jul 25 2020 11:29:02 GMT+0530 (India Standard Time)
294,LRS,0,0,34,Sat Jul 25 2020 11:29:02 GMT+0530 (India Standard Time)
295,LRS,0,0,34,Sat Jul 25 2020 11:29:02 GMT+0530 (India Standard Time)
296,LRS,0,0,34,Sat Jul 25 2020 11:29:02 GMT+0530 (India Standard Time)
297,LRS,0,0,34,Sat Jul 25 2020 11:29:02 GMT+0530 (India Standard Time)
298,LRS,0,0,34,Sat Jul 25 2020 11:29:02 GMT+0530 (India Standard Time)
299,LRS,0,0,34,Sat Jul 25 2020 11:29:02 GMT+0530 (India Standard Time)
300,LRS,0,0,34,Sat Jul 25 2020 11:29:02 GMT+0530 (India Standard Time)
301,LRS,0,0,34,Sat Jul 25 2020 11:29:02 GMT+0530 (India Standard Time)
302,LRS,0,0,34,Sat Jul 25 2020 11:29:02 GMT+0530 (India Standard Time)
303,LRS,0,0,34,Sat Jul 25 2020 11:29:03 GMT+0530 (India Standard Time)
304,LRS,0,0,34,Sat Jul 25 2020 11:29:03 GMT+0530 (India Standard Time)
305,LRS,0,0,34,Sat Jul 25 2020 11:29:03 GMT+0530 (India Standard Time)
306,LRS,0,0,34,Sat Jul 25 2020 11:29:03 GMT+0530 (India Standard Time)
307,LRS,0,0,34,Sat Jul 25 2020 11:29:03 GMT+0530 (India Standard Time)
308,LRS,0,0,34,Sat Jul 25 2020 11:29:03 GMT+0530 (India Standard Time)
309,LRS,0,0,34,Sat Jul 25 2020 11:29:03 GMT+0530 (India Standard Time)
310,LRS,0,0,34,Sat Jul 25 2020 11:29:03 GMT+0530 (India Standard Time)
311,LRS,0,0,34,Sat Jul 25 2020 11:29:03 GMT+0530 (India Standard Time)
312,LRS,0,0,34,Sat Jul 25 2020 11:29:03 GMT+0530 (India Standard Time)
313,LRS,0,0,34,Sat Jul 25 2020 11:29:03 GMT+0530 (India Standard Time)
314,LRS,0,0,34,Sat Jul 25 2020 11:29:04 GMT+0530 (India Standard Time)
315,LRS,0,0,34,Sat Jul 25 2020 11:29:04 GMT+0530 (India Standard Time)
316,LRS,0,0,34,Sat Jul 25 2020 11:29:04 GMT+0530 (India Standard Time)
317,LRS,0,0,34,Sat Jul 25 2020 11:29:04 GMT+0530 (India Standard Time)
318,LRS,0,0,34,Sat Jul 25 2020 11:29:04 GMT+0530 (India Standard Time)
319,LRS,0,0,34,Sat Jul 25 2020 11:29:04 GMT+0530 (India Standard Time)
320,LRS,0,0,34,Sat Jul 25 2020 11:29:04 GMT+0530 (India Standard Time)
321,LRS,0,0,34,Sat Jul 25 2020 11:29:04 GMT+0530 (India Standard Time)
322,LRS,0,0,34,Sat Jul 25 2020 11:29:04 GMT+0530 (India Standard Time)
323,LRS,0,0,34,Sat Jul 25 2020 11:29:04 GMT+0530 (India Standard Time)
324,LRS,0,0,34,Sat Jul 25 2020 11:29:05 GMT+0530 (India Standard Time)
325,LRS,0,0,34,Sat Jul 25 2020 11:29:05 GMT+0530 (India Standard Time)
326,LRS,0,0,34,Sat Jul 25 2020 11:29:05 GMT+0530 (India Standard Time)
327,LRS,0,0,34,Sat Jul 25 2020 11:29:05 GMT+0530 (India Standard Time)
328,LRS,0,0,34,Sat Jul 25 2020 11:29:05 GMT+0530 (India Standard Time)
329,LRS,0,0,34,Sat Jul 25 2020 11:29:05 GMT+0530 (India Standard Time)
330,LRS,0,0,34,Sat Jul 25 2020 11:29:05 GMT+0530 (India Standard Time)
331,LRS,0,0,34,Sat Jul 25 2020 11:29:05 GMT+0530 (India Standard Time)
332,LRS,0,0,34,Sat Jul 25 2020 11:29:05 GMT+0530 (India Standard Time)
333,LRS,0,0,34,Sat Jul 25 2020 11:29:05 GMT+0530 (India Standard Time)
334,LRS,0,0,34,Sat Jul 25 2020 11:29:05 GMT+0530 (India Standard Time)
335,LRS,0,0,34,Sat Jul 25 2020 11:29:05 GMT+0530 (India Standard Time)
336,LRS,0,0,34,Sat Jul 25 2020 11:29:06 GMT+0530 (India Standard Time)
337,LRS,0,0,34,Sat Jul 25 2020 11:29:06 GMT+0530 (India Standard Time)
338,LRS,0,0,34,Sat Jul 25 2020 11:29:06 GMT+0530 (India Standard Time)
339,LRS,0,0,34,Sat Jul 25 2020 11:29:06 GMT+0530 (India Standard Time)
340,LRS,0,0,34,Sat Jul 25 2020 11:29:06 GMT+0530 (India Standard Time)
341,LRS,0,0,34,Sat Jul 25 2020 11:29:06 GMT+0530 (India Standard Time)
342,LRS,0,0,34,Sat Jul 25 2020 11:29:06 GMT+0530 (India Standard Time)
343,LRS,0,0,34,Sat Jul 25 2020 11:29:06 GMT+0530 (India Standard Time)
344,LRS,0,0,34,Sat Jul 25 2020 11:29:06 GMT+0530 (India Standard Time)
345,LRS,0,0,34,Sat Jul 25 2020 11:29:06 GMT+0530 (India Standard Time)
346,LRS,0,0,34,Sat Jul 25 2020 11:29:06 GMT+0530 (India Standard Time)
347,LRS,0,0,34,Sat Jul 25 2020 11:29:07 GMT+0530 (India Standard Time)
348,LRS,0,0,34,Sat Jul 25 2020 11:29:07 GMT+0530 (India Standard Time)
349,LRS,0,0,34,Sat Jul 25 2020 11:29:07 GMT+0530 (India Standard Time)
350,LRS,0,0,34,Sat Jul 25 2020 11:29:07 GMT+0530 (India Standard Time)
351,LRS,0,0,34,Sat Jul 25 2020 11:29:07 GMT+0530 (India Standard Time)
352,LRS,0,0,34,Sat Jul 25 2020 11:29:07 GMT+0530 (India Standard Time)
353,LRS,0,0,34,Sat Jul 25 2020 11:29:07 GMT+0530 (India Standard Time)
354,LRS,0,0,34,Sat Jul 25 2020 11:29:07 GMT+0530 (India Standard Time)
355,LRS,0,0,34,Sat Jul 25 2020 11:29:07 GMT+0530 (India Standard Time)
356,LRS,0,0,34,Sat Jul 25 2020 11:29:07 GMT+0530 (India Standard Time)
357,LRS,0,0,34,Sat Jul 25 2020 11:29:07 GMT+0530 (India Standard Time)
358,LRS,0,0,34,Sat Jul 25 2020 11:29:08 GMT+0530 (India Standard Time)
359,LRS,0,0,34,Sat Jul 25 2020 11:29:08 GMT+0530 (India Standard Time)
360,LRS,0,0,34,Sat Jul 25 2020 11:29:08 GMT+0530 (India Standard Time)
361,LRS,0,0,34,Sat Jul 25 2020 11:29:08 GMT+0530 (India Standard Time)
362,LRS,0,0,34,Sat Jul 25 2020 11:29:08 GMT+0530 (India Standard Time)
363,LRS,0,0,34,Sat Jul 25 2020 11:29:08 GMT+0530 (India Standard Time)
364,LRS,0,0,34,Sat Jul 25 2020 11:29:08 GMT+0530 (India Standard Time)
365,LRS,0,0,34,Sat Jul 25 2020 11:29:08 GMT+0530 (India Standard Time)
366,LRS,0,0,34,Sat Jul 25 2020 11:29:08 GMT+0530 (India Standard Time)
367,LRS,0,0,34,Sat Jul 25 2020 11:29:08 GMT+0530 (India Standard Time)
368,LRS,0,0,34,Sat Jul 25 2020 11:29:09 GMT+0530 (India Standard Time)
369,LRS,0,0,34,Sat Jul 25 2020 11:29:09 GMT+0530 (India Standard Time)
370,LRS,0,0,34,Sat Jul 25 2020 11:29:09 GMT+0530 (India Standard Time)
371,LRS,0,0,34,Sat Jul 25 2020 11:29:09 GMT+0530 (India Standard Time)
372,LRS,0,0,34,Sat Jul 25 2020 11:29:09 GMT+0530 (India Standard Time)
373,LRS,0,0,34,Sat Jul 25 2020 11:29:09 GMT+0530 (India Standard Time)
374,LRS,0,0,34,Sat Jul 25 2020 11:29:09 GMT+0530 (India Standard Time)
375,LRS,0,0,34,Sat Jul 25 2020 11:29:09 GMT+0530 (India Standard Time)
376,LRS,0,0,34,Sat Jul 25 2020 11:29:09 GMT+0530 (India Standard Time)
377,LRS,0,0,34,Sat Jul 25 2020 11:29:09 GMT+0530 (India Standard Time)
378,LRS,0,0,34,Sat Jul 25 2020 11:29:10 GMT+0530 (India Standard Time)
379,LRS,0,0,34,Sat Jul 25 2020 11:29:10 GMT+0530 (India Standard Time)
380,LRS,0,0,34,Sat Jul 25 2020 11:29:10 GMT+0530 (India Standard Time)
381,LRS,0,0,34,Sat Jul 25 2020 11:29:10 GMT+0530 (India Standard Time)
382,LRS,0,0,34,Sat Jul 25 2020 11:29:10 GMT+0530 (India Standard Time)
383,LRS,0,0,34,Sat Jul 25 2020 11:29:10 GMT+0530 (India Standard Time)
384,LRS,0,0,34,Sat Jul 25 2020 11:29:10 GMT+0530 (India Standard Time)
385,LRS,0,0,34,Sat Jul 25 2020 11:29:10 GMT+0530 (India Standard Time)
386,LRS,0,0,34,Sat Jul 25 2020 11:29:10 GMT+0530 (India Standard Time)
387,LRS,0,0,34,Sat Jul 25 2020 11:29:10 GMT+0530 (India Standard Time)
388,LRS,0,0,34,Sat Jul 25 2020 11:29:10 GMT+0530 (India Standard Time)
389,LRS,0,0,34,Sat Jul 25 2020 11:29:11 GMT+0530 (India Standard Time)
390,LRS,0,0,34,Sat Jul 25 2020 11:29:11 GMT+0530 (India Standard Time)
391,LRS,0,0,34,Sat Jul 25 2020 11:29:11 GMT+0530 (India Standard Time)
392,LRS,0,0,34,Sat Jul 25 2020 11:29:11 GMT+0530 (India Standard Time)
393,LRS,0,0,34,Sat Jul 25 2020 11:29:11 GMT+0530 (India Standard Time)
394,LRS,0,0,34,Sat Jul 25 2020 11:29:11 GMT+0530 (India Standard Time)
395,LRS,0,0,34,Sat Jul 25 2020 11:29:11 GMT+0530 (India Standard Time)
396,LRS,0,0,34,Sat Jul 25 2020 11:29:11 GMT+0530 (India Standard Time)
397,LRS,0,0,34,Sat Jul 25 2020 11:29:11 GMT+0530 (India Standard Time)
398,LRS,0,0,34,Sat Jul 25 2020 11:29:11 GMT+0530 (India Standard Time)
399,LRS,0,0,34,Sat Jul 25 2020 11:29:11 GMT+0530 (India Standard Time)
400,LRS,0,0,34,Sat Jul 25 2020 11:29:12 GMT+0530 (India Standard Time)
401,LRS,0,0,34,Sat Jul 25 2020 11:29:12 GMT+0530 (India Standard Time)
402,LRS,0,0,34,Sat Jul 25 2020 11:29:12 GMT+0530 (India Standard Time)
403,LRS,0,0,34,Sat Jul 25 2020 11:29:12 GMT+0530 (India Standard Time)
404,LRS,0,0,34,Sat Jul 25 2020 11:29:12 GMT+0530 (India Standard Time)
405,LRS,0,0,34,Sat Jul 25 2020 11:29:12 GMT+0530 (India Standard Time)
406,LRS,0,0,34,Sat Jul 25 2020 11:29:12 GMT+0530 (India Standard Time)
407,LRS,0,0,34,Sat Jul 25 2020 11:29:12 GMT+0530 (India Standard Time)
408,LRS,0,0,34,Sat Jul 25 2020 11:29:12 GMT+0530 (India Standard Time)
409,LRS,0,0,34,Sat Jul 25 2020 11:29:12 GMT+0530 (India Standard Time)
410,LRS,0,0,34,Sat Jul 25 2020 11:29:13 GMT+0530 (India Standard Time)
411,LRS,0,0,34,Sat Jul 25 2020 11:29:13 GMT+0530 (India Standard Time)
412,LRS,0,0,34,Sat Jul 25 2020 11:29:13 GMT+0530 (India Standard Time)
413,LRS,0,0,34,Sat Jul 25 2020 11:29:13 GMT+0530 (India Standard Time)
414,LRS,0,0,34,Sat Jul 25 2020 11:29:13 GMT+0530 (India Standard Time)
415,LRS,0,0,34,Sat Jul 25 2020 11:29:13 GMT+0530 (India Standard Time)
416,LRS,0,0,34,Sat Jul 25 2020 11:29:13 GMT+0530 (India Standard Time)
417,LRS,0,0,34,Sat Jul 25 2020 11:29:13 GMT+0530 (India Standard Time)
418,LRS,0,0,34,Sat Jul 25 2020 11:29:13 GMT+0530 (India Standard Time)
419,LRS,0,0,34,Sat Jul 25 2020 11:29:13 GMT+0530 (India Standard Time)
420,LRS,0,0,34,Sat Jul 25 2020 11:29:13 GMT+0530 (India Standard Time)
421,LRS,0,0,34,Sat Jul 25 2020 11:29:14 GMT+0530 (India Standard Time)
422,LRS,0,0,34,Sat Jul 25 2020 11:29:14 GMT+0530 (India Standard Time)
423,LRS,0,0,34,Sat Jul 25 2020 11:29:14 GMT+0530 (India Standard Time)
424,LRS,0,0,34,Sat Jul 25 2020 11:29:14 GMT+0530 (India Standard Time)
425,LRS,0,0,34,Sat Jul 25 2020 11:29:14 GMT+0530 (India Standard Time)
426,LRS,0,0,34,Sat Jul 25 2020 11:29:14 GMT+0530 (India Standard Time)
427,LRS,0,0,34,Sat Jul 25 2020 11:29:14 GMT+0530 (India Standard Time)
428,LRS,0,0,34,Sat Jul 25 2020 11:29:14 GMT+0530 (India Standard Time)
429,LRS,0,0,34,Sat Jul 25 2020 11:29:14 GMT+0530 (India Standard Time)
430,LRS,0,0,34,Sat Jul 25 2020 11:29:14 GMT+0530 (India Standard Time)
431,LRS,0,0,34,Sat Jul 25 2020 11:29:14 GMT+0530 (India Standard Time)
432,LRS,0,0,34,Sat Jul 25 2020 11:29:15 GMT+0530 (India Standard Time)
433,LRS,0,0,34,Sat Jul 25 2020 11:29:15 GMT+0530 (India Standard Time)
434,LRS,0,0,34,Sat Jul 25 2020 11:29:15 GMT+0530 (India Standard Time)
435,LRS,0,0,34,Sat Jul 25 2020 11:29:15 GMT+0530 (India Standard Time)
436,LRS,0,0,34,Sat Jul 25 2020 11:29:15 GMT+0530 (India Standard Time)
437,LRS,0,0,34,Sat Jul 25 2020 11:29:15 GMT+0530 (India Standard Time)
438,LRS,0,0,34,Sat Jul 25 2020 11:29:15 GMT+0530 (India Standard Time)
439,LRS,0,0,34,Sat Jul 25 2020 11:29:15 GMT+0530 (India Standard Time)
440,LRS,0,0,34,Sat Jul 25 2020 11:29:15 GMT+0530 (India Standard Time)
441,LRS,0,0,34,Sat Jul 25 2020 11:29:15 GMT+0530 (India Standard Time)
442,LRS,0,0,34,Sat Jul 25 2020 11:29:15 GMT+0530 (India Standard Time)
443,LRS,0,0,34,Sat Jul 25 2020 11:29:16 GMT+0530 (India Standard Time)
444,LRS,0,0,34,Sat Jul 25 2020 11:29:16 GMT+0530 (India Standard Time)
445,LRS,0,0,34,Sat Jul 25 2020 11:29:16 GMT+0530 (India Standard Time)
446,LRS,0,0,34,Sat Jul 25 2020 11:29:16 GMT+0530 (India Standard Time)
447,LRS,0,0,34,Sat Jul 25 2020 11:29:16 GMT+0530 (India Standard Time)
448,LRS,0,0,34,Sat Jul 25 2020 11:29:16 GMT+0530 (India Standard Time)
449,LRS,0,0,34,Sat Jul 25 2020 11:29:16 GMT+0530 (India Standard Time)
450,LRS,0,0,34,Sat Jul 25 2020 11:29:16 GMT+0530 (India Standard Time)
451,LRS,0,0,34,Sat Jul 25 2020 11:29:16 GMT+0530 (India Standard Time)
452,LRS,0,0,34,Sat Jul 25 2020 11:29:16 GMT+0530 (India Standard Time)
453,LRS,0,0,34,Sat Jul 25 2020 11:29:16 GMT+0530 (India Standard Time)
454,LRS,0,0,34,Sat Jul 25 2020 11:29:16 GMT+0530 (India Standard Time)
455,LRS,0,0,34,Sat Jul 25 2020 11:29:17 GMT+0530 (India Standard Time)
456,LRS,0,0,34,Sat Jul 25 2020 11:29:17 GMT+0530 (India Standard Time)
457,LRS,0,0,34,Sat Jul 25 2020 11:29:17 GMT+0530 (India Standard Time)
458,LRS,0,0,34,Sat Jul 25 2020 11:29:17 GMT+0530 (India Standard Time)
459,LRS,0,0,34,Sat Jul 25 2020 11:29:17 GMT+0530 (India Standard Time)
460,LRS,0,0,34,Sat Jul 25 2020 11:29:17 GMT+0530 (India Standard Time)
461,LRS,0,0,34,Sat Jul 25 2020 11:29:17 GMT+0530 (India Standard Time)
462,LRS,0,0,34,Sat Jul 25 2020 11:29:17 GMT+0530 (India Standard Time)
463,LRS,0,0,34,Sat Jul 25 2020 11:29:17 GMT+0530 (India Standard Time)
464,LRS,0,0,34,Sat Jul 25 2020 11:29:17 GMT+0530 (India Standard Time)
465,LRS,0,0,34,Sat Jul 25 2020 11:29:17 GMT+0530 (India Standard Time)
466,LRS,0,0,34,Sat Jul 25 2020 11:29:17 GMT+0530 (India Standard Time)
467,LRS,0,0,34,Sat Jul 25 2020 11:29:18 GMT+0530 (India Standard Time)
468,LRS,0,0,34,Sat Jul 25 2020 11:29:18 GMT+0530 (India Standard Time)
469,LRS,0,0,34,Sat Jul 25 2020 11:29:18 GMT+0530 (India Standard Time)
470,LRS,0,0,34,Sat Jul 25 2020 11:29:18 GMT+0530 (India Standard Time)
471,LRS,0,0,34,Sat Jul 25 2020 11:29:18 GMT+0530 (India Standard Time)
472,LRS,0,0,34,Sat Jul 25 2020 11:29:18 GMT+0530 (India Standard Time)
473,LRS,0,0,34,Sat Jul 25 2020 11:29:18 GMT+0530 (India Standard Time)
474,LRS,0,0,34,Sat Jul 25 2020 11:29:18 GMT+0530 (India Standard Time)
475,LRS,0,0,34,Sat Jul 25 2020 11:29:18 GMT+0530 (India Standard Time)
476,LRS,0,0,34,Sat Jul 25 2020 11:29:19 GMT+0530 (India Standard Time)
477,LRS,0,0,34,Sat Jul 25 2020 11:29:19 GMT+0530 (India Standard Time)
478,LRS,0,0,34,Sat Jul 25 2020 11:29:19 GMT+0530 (India Standard Time)
479,LRS,0,0,34,Sat Jul 25 2020 11:29:19 GMT+0530 (India Standard Time)
480,LRS,0,0,34,Sat Jul 25 2020 11:29:19 GMT+0530 (India Standard Time)
481,LRS,0,0,34,Sat Jul 25 2020 11:29:19 GMT+0530 (India Standard Time)
482,LRS,0,0,34,Sat Jul 25 2020 11:29:19 GMT+0530 (India Standard Time)
483,LRS,0,0,34,Sat Jul 25 2020 11:29:19 GMT+0530 (India Standard Time)
484,LRS,0,0,34,Sat Jul 25 2020 11:29:19 GMT+0530 (India Standard Time)
485,LRS,0,0,34,Sat Jul 25 2020 11:29:19 GMT+0530 (India Standard Time)
486,LRS,0,0,34,Sat Jul 25 2020 11:29:19 GMT+0530 (India Standard Time)
487,LRS,0,0,34,Sat Jul 25 2020 11:29:20 GMT+0530 (India Standard Time)
488,LRS,0,0,34,Sat Jul 25 2020 11:29:20 GMT+0530 (India Standard Time)
489,LRS,0,0,34,Sat Jul 25 2020 11:29:20 GMT+0530 (India Standard Time)
490,LRS,0,0,34,Sat Jul 25 2020 11:29:20 GMT+0530 (India Standard Time)
491,LRS,0,0,34,Sat Jul 25 2020 11:29:20 GMT+0530 (India Standard Time)
492,LRS,0,0,34,Sat Jul 25 2020 11:29:20 GMT+0530 (India Standard Time)
493,LRS,0,0,34,Sat Jul 25 2020 11:29:20 GMT+0530 (India Standard Time)
494,LRS,0,0,34,Sat Jul 25 2020 11:29:20 GMT+0530 (India Standard Time)
495,LRS,0,0,34,Sat Jul 25 2020 11:29:20 GMT+0530 (India Standard Time)
496,LRS,0,0,34,Sat Jul 25 2020 11:29:20 GMT+0530 (India Standard Time)
497,LRS,0,0,34,Sat Jul 25 2020 11:29:20 GMT+0530 (India Standard Time)
498,LRS,0,0,34,Sat Jul 25 2020 11:29:21 GMT+0530 (India Standard Time)
499,LRS,0,0,34,Sat Jul 25 2020 11:29:21 GMT+0530 (India Standard Time)
500,LRS,0,0,34,Sat Jul 25 2020 11:29:21 GMT+0530 (India Standard Time)
501,LRS,0,0,34,Sat Jul 25 2020 11:29:21 GMT+0530 (India Standard Time)
502,LRS,0,0,34,Sat Jul 25 2020 11:29:21 GMT+0530 (India Standard Time)
503,LRS,0,0,34,Sat Jul 25 2020 11:29:21 GMT+0530 (India Standard Time)
504,LRS,0,0,34,Sat Jul 25 2020 11:29:21 GMT+0530 (India Standard Time)
505,LRS,0,0,34,Sat Jul 25 2020 11:29:21 GMT+0530 (India Standard Time)
506,LRS,0,0,34,Sat Jul 25 2020 11:29:21 GMT+0530 (India Standard Time)
507,LRS,0,0,34,Sat Jul 25 2020 11:29:21 GMT+0530 (India Standard Time)
508,LRS,0,0,34,Sat Jul 25 2020 11:29:21 GMT+0530 (India Standard Time)
509,LRS,0,0,34,Sat Jul 25 2020 11:29:22 GMT+0530 (India Standard Time)
510,LRS,0,0,34,Sat Jul 25 2020 11:29:22 GMT+0530 (India Standard Time)
511,LRS,0,0,34,Sat Jul 25 2020 11:29:22 GMT+0530 (India Standard Time)
512,LRS,0,0,34,Sat Jul 25 2020 11:29:22 GMT+0530 (India Standard Time)
513,LRS,0,0,34,Sat Jul 25 2020 11:29:22 GMT+0530 (India Standard Time)
514,LRS,0,0,34,Sat Jul 25 2020 11:29:22 GMT+0530 (India Standard Time)
515,LRS,0,0,34,Sat Jul 25 2020 11:29:22 GMT+0530 (India Standard Time)
516,LRS,0,0,34,Sat Jul 25 2020 11:29:22 GMT+0530 (India Standard Time)
517,LRS,0,0,34,Sat Jul 25 2020 11:29:22 GMT+0530 (India Standard Time)
518,LRS,0,0,34,Sat Jul 25 2020 11:29:22 GMT+0530 (India Standard Time)
519,LRS,0,0,34,Sat Jul 25 2020 11:29:23 GMT+0530 (India Standard Time)
520,LRS,0,0,34,Sat Jul 25 2020 11:29:23 GMT+0530 (India Standard Time)
521,LRS,0,0,34,Sat Jul 25 2020 11:29:23 GMT+0530 (India Standard Time)
522,LRS,0,0,34,Sat Jul 25 2020 11:29:23 GMT+0530 (India Standard Time)
523,LRS,0,0,34,Sat Jul 25 2020 11:29:23 GMT+0530 (India Standard Time)
524,LRS,0,0,34,Sat Jul 25 2020 11:29:23 GMT+0530 (India Standard Time)
525,LRS,0,0,34,Sat Jul 25 2020 11:29:23 GMT+0530 (India Standard Time)
526,LRS,0,0,34,Sat Jul 25 2020 11:29:23 GMT+0530 (India Standard Time)
527,LRS,0,0,34,Sat Jul 25 2020 11:29:23 GMT+0530 (India Standard Time)
528,LRS,0,0,34,Sat Jul 25 2020 11:29:23 GMT+0530 (India Standard Time)
529,LRS,0,0,34,Sat Jul 25 2020 11:29:23 GMT+0530 (India Standard Time)
530,LRS,0,0,34,Sat Jul 25 2020 11:29:24 GMT+0530 (India Standard Time)
531,LRS,0,0,34,Sat Jul 25 2020 11:29:24 GMT+0530 (India Standard Time)
532,LRS,0,0,34,Sat Jul 25 2020 11:29:24 GMT+0530 (India Standard Time)
533,LRS,0,0,34,Sat Jul 25 2020 11:29:24 GMT+0530 (India Standard Time)
534,LRS,0,0,34,Sat Jul 25 2020 11:29:24 GMT+0530 (India Standard Time)
535,LRS,0,0,34,Sat Jul 25 2020 11:29:24 GMT+0530 (India Standard Time)
536,LRS,0,0,34,Sat Jul 25 2020 11:29:24 GMT+0530 (India Standard Time)
537,LRS,0,0,34,Sat Jul 25 2020 11:29:24 GMT+0530 (India Standard Time)
538,LRS,0,0,34,Sat Jul 25 2020 11:29:24 GMT+0530 (India Standard Time)
539,LRS,0,0,34,Sat Jul 25 2020 11:29:24 GMT+0530 (India Standard Time)
540,LRS,0,0,34,Sat Jul 25 2020 11:29:24 GMT+0530 (India Standard Time)
541,LRS,0,0,34,Sat Jul 25 2020 11:29:25 GMT+0530 (India Standard Time)
542,LRS,0,0,34,Sat Jul 25 2020 11:29:25 GMT+0530 (India Standard Time)
543,LRS,0,0,34,Sat Jul 25 2020 11:29:25 GMT+0530 (India Standard Time)
544,LRS,0,0,34,Sat Jul 25 2020 11:29:25 GMT+0530 (India Standard Time)
545,LRS,0,0,34,Sat Jul 25 2020 11:29:25 GMT+0530 (India Standard Time)
546,LRS,0,0,34,Sat Jul 25 2020 11:29:25 GMT+0530 (India Standard Time)
547,LRS,0,0,34,Sat Jul 25 2020 11:29:25 GMT+0530 (India Standard Time)
548,LRS,0,0,34,Sat Jul 25 2020 11:29:25 GMT+0530 (India Standard Time)
549,LRS,0,0,34,Sat Jul 25 2020 11:29:25 GMT+0530 (India Standard Time)
550,LRS,0,0,34,Sat Jul 25 2020 11:29:25 GMT+0530 (India Standard Time)
551,LRS,0,0,34,Sat Jul 25 2020 11:29:26 GMT+0530 (India Standard Time)
552,LRS,0,0,34,Sat Jul 25 2020 11:29:26 GMT+0530 (India Standard Time)
553,LRS,0,0,34,Sat Jul 25 2020 11:29:26 GMT+0530 (India Standard Time)
554,LRS,0,0,34,Sat Jul 25 2020 11:29:26 GMT+0530 (India Standard Time)
555,LRS,0,0,34,Sat Jul 25 2020 11:29:26 GMT+0530 (India Standard Time)
556,LRS,0,0,34,Sat Jul 25 2020 11:29:26 GMT+0530 (India Standard Time)
557,LRS,0,0,34,Sat Jul 25 2020 11:29:26 GMT+0530 (India Standard Time)
558,LRS,0,0,34,Sat Jul 25 2020 11:29:26 GMT+0530 (India Standard Time)
559,LRS,0,0,34,Sat Jul 25 2020 11:29:26 GMT+0530 (India Standard Time)
560,LRS,0,0,34,Sat Jul 25 2020 11:29:26 GMT+0530 (India Standard Time)
561,LRS,0,0,34,Sat Jul 25 2020 11:29:27 GMT+0530 (India Standard Time)
562,LRS,0,0,34,Sat Jul 25 2020 11:29:27 GMT+0530 (India Standard Time)
563,LRS,0,0,34,Sat Jul 25 2020 11:29:27 GMT+0530 (India Standard Time)
564,LRS,0,0,34,Sat Jul 25 2020 11:29:27 GMT+0530 (India Standard Time)
565,LRS,0.42,-0.16,34,Sat Jul 25 2020 11:49:59 GMT+0530 (India Standard Time)
566,LRS,0.83,-0.31,34,Sat Jul 25 2020 11:49:59 GMT+0530 (India Standard Time)
567,LRS,1.24,-0.46,34,Sat Jul 25 2020 11:49:59 GMT+0530 (India Standard Time)
568,LRS,1.65,-0.59,34,Sat Jul 25 2020 11:49:59 GMT+0530 (India Standard Time)
569,LRS,2.04,-0.73,34,Sat Jul 25 2020 11:49:59 GMT+0530 (India Standard Time)
570,LRS,2.42,-0.88,34,Sat Jul 25 2020 11:49:59 GMT+0530 (India Standard Time)
571,LRS,2.8,-1.02,34,Sat Jul 25 2020 11:49:59 GMT+0530 (India Standard Time)
572,LRS,3.16,-1.16,34,Sat Jul 25 2020 11:49:59 GMT+0530 (India Standard Time)
573,LRS,3.52,-1.29,34,Sat Jul 25 2020 11:50:00 GMT+0530 (India Standard Time)
574,LRS,3.88,-1.42,34,Sat Jul 25 2020 11:50:00 GMT+0530 (India Standard Time)
575,LRS,4.23,-1.56,34,Sat Jul 25 2020 11:50:00 GMT+0530 (India Standard Time)
576,LRS,4.58,-1.69,34,Sat Jul 25 2020 11:50:00 GMT+0530 (India Standard Time)
577,LRS,4.9,-1.81,34,Sat Jul 25 2020 11:50:00 GMT+0530 (India Standard Time)
578,LRS,5.22,-1.93,34,Sat Jul 25 2020 11:50:00 GMT+0530 (India Standard Time)
579,LRS,5.55,-2.03,34,Sat Jul 25 2020 11:50:00 GMT+0530 (India Standard Time)
580,LRS,5.86,-2.13,34,Sat Jul 25 2020 11:50:00 GMT+0530 (India Standard Time)
581,LRS,6.17,-2.22,34,Sat Jul 25 2020 11:50:00 GMT+0530 (India Standard Time)
582,LRS,6.48,-2.3,34,Sat Jul 25 2020 11:50:00 GMT+0530 (India Standard Time)
583,LRS,6.76,-2.39,34,Sat Jul 25 2020 11:50:01 GMT+0530 (India Standard Time)
584,LRS,7.05,-2.47,34,Sat Jul 25 2020 11:50:01 GMT+0530 (India Standard Time)
585,LRS,7.33,-2.55,34,Sat Jul 25 2020 11:50:01 GMT+0530 (India Standard Time)
586,LRS,7.59,-2.64,34,Sat Jul 25 2020 11:50:01 GMT+0530 (India Standard Time)
587,LRS,7.85,-2.73,34,Sat Jul 25 2020 11:50:01 GMT+0530 (India Standard Time)
